Result Log 
Problem Instance Path = ../problem1.txt 
Random Seed = 1506212116.321982 
Parameters used = {'fitness evaluations': 1000, 'number of runs': 30, 'problem solution location': 'solutions/prob1_random_solution.txt'}

Run 1
2	9
11	10
20	11
89	16
138	18
142	24

Run 2
2	5
3	12
52	16
183	17
570	20
621	22

Run 3
2	4
3	5
4	10
15	18
63	24

Run 4
2	2
3	8
7	10
16	13
45	17
440	19
878	20

Run 5
2	2
5	5
7	8
9	10
11	11
22	18
129	22
466	23

Run 6
2	4
3	7
4	8
9	10
10	12
15	15
23	19
172	23

Run 7
2	17
5	19
80	20
253	23

Run 8
2	2
3	3
4	7
10	8
13	10
16	13
85	15
364	16
468	17
504	20

Run 9
2	1
3	3
5	6
7	8
9	11
23	14
26	17
123	18
625	22

Run 10
2	4
4	7
5	12
22	15
135	16
290	19

Run 11
2	10
27	11
30	16
228	20
505	21

Run 12
3	12
40	13
47	15
164	20
359	23

Run 13
2	5
6	6
12	8
18	10
22	13
103	15
107	17
131	21

Run 14
2	6
3	12
26	15
33	16
104	17
371	22
773	25

Run 15
2	5
3	8
5	9
8	12
100	21
682	22
890	26

Run 16
2	1
3	5
5	7
6	12
29	17
453	28

Run 17
2	4
5	6
8	7
10	9
18	11
35	13
46	17
572	23

Run 18
2	7
4	9
17	14
36	18
48	19
381	21
893	23

Run 19
2	3
3	4
4	5
9	11
126	12
194	14
219	18
276	19
569	27

Run 20
2	3
6	9
14	12
18	13
22	17
417	19

Run 21
2	5
3	11
7	12
68	18
233	21

Run 22
2	6
6	16
194	19

Run 23
2	1
3	3
6	10
8	13
34	14
193	15
273	17
339	20
995	24

Run 24
2	2
4	5
6	14
72	17
86	20
737	21
999	28

Run 25
2	2
4	7
8	8
9	12
10	13
22	19
303	20
924	21

Run 26
2	6
8	10
24	14
35	17
49	23

Run 27
2	11
29	14
66	15
156	16
201	17
215	21
331	23

Run 28
2	2
3	3
4	4
8	6
18	12
77	18
133	22

Run 29
2	8
3	10
9	11
39	12
46	18
83	19
705	24

Run 30
2	4
4	9
17	22
978	26

