Result Log 
Problem Instance Path = ../problem2.txt 
Random Seed = 1506151551.092962 
Parameters used = {'fitness evaluations': 1000, 'number of runs': 30, 'problem solution location': 'solutions/prob2_EA_solution.txt'}

Run 1
2	7
6	11
9	12
78	14
124	25
878	33

Run 2
2	6
11	8
15	16
125	19
159	21
298	27

Run 3
2	1
3	8
7	12
11	16
108	20
276	34

Run 4
2	1
3	5
7	10
10	12
16	16
27	19
441	20
734	24

Run 5
2	8
9	13
19	20
259	23

Run 6
2	15
105	20
203	21
460	25

Run 7
2	3
3	4
4	8
7	10
12	11
17	12
25	15
49	19
406	21
928	22

Run 8
2	5
3	13
8	16
13	20

Run 9
2	8
6	14
40	15
95	19
329	20
530	22
849	24

Run 10
2	4
5	10
8	17
29	22
859	26

Run 11
2	2
3	4
6	6
9	9
11	11
12	14
44	17
91	18
100	19
103	24

Run 12
2	7
5	10
15	12
48	13
114	14
124	18
169	20
201	21
621	22

Run 13
2	3
3	8
6	10
11	12
28	16
66	17
273	19
374	22

Run 14
2	3
3	13
12	22
320	23
965	27

Run 15
2	13
28	14
51	15
354	17
523	22

Run 16
3	4
8	8
13	13
15	18
127	19
238	21
544	22

Run 17
2	4
3	5
6	10
9	11
30	12
45	14
149	15
152	18
212	20
397	22
402	24

Run 18
2	3
3	5
4	6
5	11
25	20
61	24
970	25

Run 19
2	6
4	7
5	15
39	22
161	26

Run 20
3	8
5	13
17	16
259	20
600	23

Run 21
2	1
3	3
4	9
6	11
21	14
24	23

Run 22
2	11
47	15
65	18
75	27

Run 23
2	3
6	5
7	7
10	8
15	9
36	15
166	16
179	17
297	19
394	20
620	25

Run 24
2	14
50	15
118	17
126	24

Run 25
2	1
3	2
5	3
6	4
7	9
11	11
34	12
78	14
100	17
137	20
360	24
499	25
885	26

Run 26
2	2
5	7
7	8
8	13
30	14
33	18
115	20
165	24

Run 27
2	3
5	10
15	12
54	13
91	18
687	20
894	25

Run 28
2	10
4	13
10	16
215	17
253	18
579	26

Run 29
2	9
4	15
6	16
28	22
74	23
126	28

Run 30
2	5
5	8
16	11
29	13
38	27

