Result Log 
Problem Instance Path = ../problem3.txt 
Random Seed = 1506112401.221344 
Parameters used = {'fitness evaluations': 1000, 'number of runs': 30, 'problem solution location': 'solutions/prob3_solution.txt'}

Run 1
2	18
4	42
200	43
379	46

Run 2
2	9
7	15
9	19
18	24
26	31
32	35
100	41
176	51

Run 3
2	21
5	31
21	33
174	34
242	37
270	38
393	39

Run 4
2	1
3	8
6	16
11	25
43	27
44	30
85	40

Run 5
2	22
12	38
36	47
107	48
483	56

Run 6
2	19
13	22
17	36
115	38
188	40
892	49

Run 7
2	26
13	36
190	50

Run 8
2	9
3	17
10	31
21	35
300	37
449	41
800	57

Run 9
2	8
4	25
12	26
138	27
153	28
193	30
223	33
312	34
362	43
938	44

Run 10
2	8
5	36
12	39
328	47

Run 11
2	1
3	19
21	22
22	23
27	25
29	28
70	35
138	36
168	37
244	40
597	50

Run 12
2	5
3	13
15	32
147	37
192	42
418	49
423	76

Run 13
2	8
3	18
5	19
20	25
35	38
784	41

Run 14
2	2
3	26
22	30
42	34
112	37
381	38
742	41
967	47

Run 15
2	9
3	15
9	55

Run 16
2	28
13	31
85	35
348	39
602	43
802	53

Run 17
2	5
3	7
4	8
9	12
11	13
18	29
90	34
136	38
425	39
822	43

Run 18
2	7
3	20
12	24
27	25
42	37
93	38
389	41
457	47

Run 19
2	19
3	32
212	40
238	41
364	52

Run 20
2	7
3	9
7	14
9	29
70	38
615	41
665	46
798	53

Run 21
2	6
4	10
5	14
6	29
14	41
128	45
149	56
551	62

Run 22
2	4
3	29
12	31
16	32
166	44
728	54
753	62

Run 23
2	12
4	18
12	22
16	23
26	24
34	32
71	35
214	54

Run 24
2	7
3	13
5	26
29	37
487	40
838	46
948	48

Run 25
2	10
3	14
8	17
23	19
26	31
89	32
135	38
390	47
629	51

Run 26
2	13
5	31
37	34
111	38
183	40
506	42
569	45

Run 27
2	4
3	13
5	28
41	31
67	44

Run 28
2	7
5	11
8	17
10	25
56	30
146	34
201	37
474	46
562	56
799	60

Run 29
2	12
8	14
10	24
34	25
43	30
52	34
62	35
215	49
649	52

Run 30
2	5
3	18
8	21
17	22
49	29
76	32
113	33
144	38
245	55

